latitude,longitude,cluster
42.3781,-71.0581,0
42.3405,-71.0737,0
42.3515,-71.0863,0
42.3445,-71.0786,0
42.3351,-71.0756,0
42.3359,-71.0766,0
42.3586,-71.0709,0
42.3371,-71.0843,0
42.335,-71.0755,0
42.3606,-71.0621,0
42.3493,-71.0669,0
42.3363,-71.0778,0
42.3333,-71.03399999999999,0
42.333,-71.0345,0
42.3594,-71.0587,0
42.3056,-71.1068,0
42.2932,-71.0754,0
42.2762,-71.1644,0
42.313,-71.0628,0
42.3136,-71.0675,0
42.313,-71.0626,0
42.294,-71.0793,0
42.298,-71.0634,0
42.2713,-71.0921,0
42.3183,-71.0762,0
42.313,-71.0628,0
42.3047,-71.0807,0
42.2951,-71.0816,0
42.3129,-71.0625,0
42.2913,-71.0662,0
42.3065,-71.084,0
42.2671,-71.1089,0
42.3413,-71.1458,0
42.3594,-71.0587,0
42.3609,-71.1416,0
42.3124,-71.0971,0
42.3594,-71.0587,0
42.313,-71.0628,0
42.355,-71.1477,0
42.3594,-71.0587,0
42.3517,-71.1481,0
42.301,-71.058,0
42.3339,-71.1026,0
42.283,-71.0765,0
42.2987,-71.0729,0
42.3293,-71.1104,0
42.2775,-71.0829,0
42.251999999999995,-71.1321,0
42.2705,-71.1647,0
42.3495,-71.1345,0
42.2804,-71.0529,0
42.3594,-71.0587,0
42.3594,-71.0587,0
42.3546,-71.1474,0
42.3619,-71.1309,0
42.3594,-71.0587,0
42.3149,-71.0979,0
42.2761,-71.0934,0
42.2823,-71.1322,0
42.301,-71.0647,0
42.349,-71.1544,0
42.2691,-71.09100000000001,0
42.276,-71.0722,0
42.3162,-71.0636,0
42.2885,-71.0754,0
42.3275,-71.1021,0
42.2519,-71.1422,0
42.3669,-71.0357,0
42.3129,-71.0632,0
42.3611,-71.1416,0
42.2983,-71.0834,0
42.3129,-71.0632,0
42.2973,-71.08800000000001,0
42.3001,-71.0826,0
42.3424,-71.0568,0
42.3594,-71.0587,0
42.3594,-71.0587,0
42.2703,-71.1116,0
42.3591,-71.0702,0
42.3098,-71.0462,0
42.3439,-71.0873,0
42.2947,-71.1535,0
42.3449,-71.0723,1
42.3689,-71.0388,1
42.3361,-71.078,1
42.3299,-71.0929,1
42.333,-71.0516,1
42.3568,-71.05199999999999,1
42.3632,-71.0651,1
42.3326,-71.0723,1
42.3484,-71.0701,1
42.3832,-71.0784,1
42.3219,-71.0764,1
42.3328,-71.0964,1
42.3484,-71.0701,1
42.3325,-71.0473,1
42.3666,-71.0536,1
42.3531,-71.0607,1
42.3329,-71.0924,1
42.3177,-71.0638,1
42.3374,-71.0838,1
42.3882,-71.0021,1
42.376999999999995,-71.0349,1
42.3655,-71.0573,1
42.333999999999996,-71.0417,1
42.3329,-71.0924,1
42.3479,-71.0632,1
42.3426,-71.0866,1
42.3425,-71.0749,1
42.3452,-71.0768,1
42.3854,-71.0046,1
42.3606,-71.0621,1
42.3657,-71.0527,1
42.3297,-71.0938,1
42.3311,-71.0412,1
42.3625,-71.0584,1
42.361000000000004,-71.057,1
42.3552,-71.0633,1
42.3557,-71.0713,1
42.3263,-71.0528,1
42.3733,-71.0638,1
42.3604,-71.0668,1
42.3758,-71.0335,1
42.3546,-71.0766,1
42.3257,-71.0776,1
42.3338,-71.0415,1
42.3299,-71.0785,1
42.3594,-71.0587,1
42.3388,-71.0508,1
42.3242,-71.077,1
42.3326,-71.0723,1
42.354,-71.0744,1
42.3496,-71.0861,1
42.354,-71.0744,1
42.3315,-71.0531,1
42.3579,-71.0627,1
42.3392,-71.0504,1
42.3897,-71.0094,1
42.3541,-71.0586,1
42.3457,-71.0727,1
42.3414,-71.0818,1
42.3513,-71.085,1
42.35,-71.0869,1
42.3375,-71.0344,1
42.3338,-71.0825,1
42.3321,-71.0794,1
42.3247,-71.0639,1
42.3365,-71.0256,1
42.335,-71.0532,1
42.3408,-71.0786,1
42.3379,-71.0571,1
42.3365,-71.0278,1
42.3212,-71.0609,1
42.3326,-71.0723,1
42.3353,-71.0439,1
42.3841,-71.0139,1
42.3852,-71.0192,1
42.3512,-71.0826,1
42.3802,-71.0689,1
42.3329,-71.0924,1
42.3339,-71.0536,1
42.3801,-71.0654,1
42.3381,-71.0754,1
42.3329,-71.0358,1
42.3452,-71.07300000000001,1
42.3224,-71.057,1
42.3594,-71.0587,1
42.3481,-71.0881,1
42.3489,-71.0885,1
42.3594,-71.0587,1
42.3859,-71.0109,1
42.3379,-71.0498,1
42.354,-71.0744,1
42.376999999999995,-71.0349,1
42.3524,-71.0713,1
42.3525,-71.0785,1
42.3357,-71.0395,1
42.3365,-71.0256,1
42.3325,-71.0473,1
42.3247,-71.0639,1
42.3449,-71.0741,1
42.3394,-71.0539,1
42.3328,-71.0495,1
42.3491,-71.0868,1
42.3581,-71.0498,1
42.3604,-71.0715,1
42.3514,-71.0623,1
42.3354,-71.0457,1
42.3383,-71.0707,1
42.3361,-71.1075,1
42.3818,-71.0266,1
42.3329,-71.0924,1
42.3339,-71.0536,1
42.3761,-71.0319,1
42.3837,-71.0161,1
42.3389,-71.0736,1
42.3769,-71.0367,1
42.3232,-71.077,1
42.3807,-71.0395,1
42.3374,-71.0838,1
42.3739,-71.0611,1
42.358000000000004,-71.054,1
42.3328,-71.0839,1
42.3507,-71.0625,1
42.3247,-71.0639,1
42.367,-71.0585,1
42.3452,-71.0768,1
42.3187,-71.0612,1
42.3834,-71.0197,1
42.3258,-71.0723,1
42.3433,-71.0871,1
42.3462,-71.0721,1
42.3374,-71.0838,1
42.3525,-71.0675,1
42.3626,-71.0527,1
42.332,-71.0528,1
42.3321,-71.0794,1
42.3353,-71.0449,1
42.3678,-71.0566,1
42.333999999999996,-71.0417,1
42.3346,-71.0396,1
42.3335,-71.07600000000001,1
42.3339,-71.0331,1
42.3751,-71.0582,1
42.3398,-71.0691,1
